,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,2022-01-01 00:00:00,-191.0,22,2022-01-01 00:22:00,-191.0,22,2022-01-01 00:22:00,-191.0,92,2022-01-01 01:32:00,-19.0,92,2022-01-01 01:32:00,-19.0,131,2022-01-01 02:11:00,-194.0
1,131,2022-01-01 02:11:00,-194.0,157,2022-01-01 02:37:00,-194.0,157,2022-01-01 02:37:00,-194.0,195,2022-01-01 03:15:00,-105.0,195,2022-01-01 03:15:00,-105.0,218,2022-01-01 03:38:00,-196.0
2,218,2022-01-01 03:38:00,-196.0,287,2022-01-01 04:47:00,-196.0,287,2022-01-01 04:47:00,-196.0,357,2022-01-01 05:57:00,-24.0,357,2022-01-01 05:57:00,-24.0,396,2022-01-01 06:36:00,-196.0
3,396,2022-01-01 06:36:00,-196.0,437,2022-01-01 07:17:00,-194.0,437,2022-01-01 07:17:00,-194.0,510,2022-01-01 08:30:00,-12.0,510,2022-01-01 08:30:00,-12.0,612,2022-01-01 10:12:00,-192.0
4,612,2022-01-01 10:12:00,-192.0,667,2022-01-01 11:07:00,-193.0,667,2022-01-01 11:07:00,-193.0,737,2022-01-01 12:17:00,-23.0,737,2022-01-01 12:17:00,-23.0,776,2022-01-01 12:56:00,-198.0
5,776,2022-01-01 12:56:00,-198.0,807,2022-01-01 13:27:00,-199.0,807,2022-01-01 13:27:00,-199.0,877,2022-01-01 14:37:00,-29.0,877,2022-01-01 14:37:00,-29.0,916,2022-01-01 15:16:00,-203.0
6,916,2022-01-01 15:16:00,-203.0,942,2022-01-01 15:42:00,-203.0,942,2022-01-01 15:42:00,-203.0,962,2022-01-01 16:02:00,-163.0,962,2022-01-01 16:02:00,-163.0,976,2022-01-01 16:16:00,-202.0
7,976,2022-01-01 16:16:00,-202.0,1087,2022-01-01 18:07:00,-197.0,1087,2022-01-01 18:07:00,-197.0,1157,2022-01-01 19:17:00,-21.0,1157,2022-01-01 19:17:00,-21.0,1196,2022-01-01 19:56:00,-192.0
8,1196,2022-01-01 19:56:00,-192.0,1237,2022-01-01 20:37:00,-191.0,1237,2022-01-01 20:37:00,-191.0,1309,2022-01-01 21:49:00,-12.0,1309,2022-01-01 21:49:00,-12.0,1405,2022-01-01 23:25:00,-191.0
9,1405,2022-01-01 23:25:00,-191.0,1462,2022-01-02 00:22:00,-192.0,1462,2022-01-02 00:22:00,-192.0,1532,2022-01-02 01:32:00,-19.0,1532,2022-01-02 01:32:00,-19.0,1571,2022-01-02 02:11:00,-194.0
10,1571,2022-01-02 02:11:00,-194.0,1597,2022-01-02 02:37:00,-195.0,1597,2022-01-02 02:37:00,-195.0,1667,2022-01-02 03:47:00,-26.0,1667,2022-01-02 03:47:00,-26.0,1706,2022-01-02 04:26:00,-201.0
11,1706,2022-01-02 04:26:00,-201.0,1727,2022-01-02 04:47:00,-201.0,1727,2022-01-02 04:47:00,-201.0,1797,2022-01-02 05:57:00,-26.0,1797,2022-01-02 05:57:00,-26.0,1836,2022-01-02 06:36:00,-198.0
12,1836,2022-01-02 06:36:00,-198.0,1876,2022-01-02 07:16:00,-195.0,1876,2022-01-02 07:16:00,-195.0,1950,2022-01-02 08:30:00,-13.0,1950,2022-01-02 08:30:00,-13.0,2052,2022-01-02 10:12:00,-191.0
13,2052,2022-01-02 10:12:00,-191.0,2107,2022-01-02 11:07:00,-191.0,2107,2022-01-02 11:07:00,-191.0,2176,2022-01-02 12:16:00,-20.0,2176,2022-01-02 12:16:00,-20.0,2215,2022-01-02 12:55:00,-192.0
14,2215,2022-01-02 12:55:00,-192.0,2247,2022-01-02 13:27:00,-193.0,2247,2022-01-02 13:27:00,-193.0,2317,2022-01-02 14:37:00,-22.0,2317,2022-01-02 14:37:00,-22.0,2356,2022-01-02 15:16:00,-196.0
15,2356,2022-01-02 15:16:00,-196.0,2382,2022-01-02 15:42:00,-196.0,2382,2022-01-02 15:42:00,-196.0,2450,2022-01-02 16:50:00,-31.0,2450,2022-01-02 16:50:00,-31.0,2488,2022-01-02 17:28:00,-200.0
16,2488,2022-01-02 17:28:00,-200.0,2527,2022-01-02 18:07:00,-199.0,2527,2022-01-02 18:07:00,-199.0,2596,2022-01-02 19:16:00,-26.0,2596,2022-01-02 19:16:00,-26.0,2634,2022-01-02 19:54:00,-195.0
17,2634,2022-01-02 19:54:00,-195.0,2676,2022-01-02 20:36:00,-193.0,2676,2022-01-02 20:36:00,-193.0,2747,2022-01-02 21:47:00,-18.0,2747,2022-01-02 21:47:00,-18.0,2842,2022-01-02 23:22:00,-190.0
18,2842,2022-01-02 23:22:00,-190.0,2902,2022-01-03 00:22:00,-190.0,2902,2022-01-03 00:22:00,-190.0,2963,2022-01-03 01:23:00,-39.0,2963,2022-01-03 01:23:00,-39.0,2998,2022-01-03 01:58:00,-190.0
19,2998,2022-01-03 01:58:00,-190.0,3037,2022-01-03 02:37:00,-191.0,3037,2022-01-03 02:37:00,-191.0,3103,2022-01-03 03:43:00,-31.0,3103,2022-01-03 03:43:00,-31.0,3139,2022-01-03 04:19:00,-195.0
20,3139,2022-01-03 04:19:00,-195.0,3167,2022-01-03 04:47:00,-196.0,3167,2022-01-03 04:47:00,-196.0,3232,2022-01-03 05:52:00,-38.0,3232,2022-01-03 05:52:00,-38.0,3269,2022-01-03 06:29:00,-199.0
21,3269,2022-01-03 06:29:00,-199.0,3317,2022-01-03 07:17:00,-199.0,3317,2022-01-03 07:17:00,-199.0,3384,2022-01-03 08:24:00,-34.0,3384,2022-01-03 08:24:00,-34.0,3472,2022-01-03 09:52:00,-193.0
22,3472,2022-01-03 09:52:00,-193.0,3547,2022-01-03 11:07:00,-192.0,3547,2022-01-03 11:07:00,-192.0,3611,2022-01-03 12:11:00,-34.0,3611,2022-01-03 12:11:00,-34.0,3647,2022-01-03 12:47:00,-192.0
23,3647,2022-01-03 12:47:00,-192.0,3687,2022-01-03 13:27:00,-194.0,3687,2022-01-03 13:27:00,-194.0,3747,2022-01-03 14:27:00,-48.0,3747,2022-01-03 14:27:00,-48.0,3782,2022-01-03 15:02:00,-197.0
